feature,chemicals
moisturising effect,Acetamide MEA
moisturising effect,Agarose
moisturising effect,Ammonium lactate
moisturising effect,Arginine PCA
moisturising effect,Betaine
moisturising effect,Butylene glycol
moisturising effect,Copper PCA
moisturising effect,Corn glycerides
moisturising effect,Diglycereth-7 Malate
moisturising effect,Diglycerin
moisturising effect,Dimethyl imidazolidinone
moisturising effect,Erythritol
moisturising effect,Gelatin
moisturising effect,Glucose
moisturising effect,Glucuronic acid
moisturising effect,Glucuronolactone
moisturising effect,Glutamic acid
moisturising effect,Glycereth-12
moisturising effect,Honey extract
moisturising effect,Hylauronic acid
moisturising effect,Hydroloyzed wheat starch
moisturising effect,Hydroxyethyl sorbitol
moisturising effect,Lactamide
moisturising effect,Lactic acid
moisturising effect,Maititol
moisturising effect,Melibiose
moisturising effect,Pantolactone
moisturising effect,PCA
moisturising effect,Polyglucuronic acid
moisturising effect,Polyglycerylmethacrylate
moisturising effect,Propylene glycerol
moisturising effect,Saccharide hydrolysate
moisturising effect,salt
moisturising effect,Seasame amino acids
moisturising effect,Sodium aspartate
moisturising effect,Sodium lactate
moisturising effect,Sodium malate
moisturising effect,Cyclomethicone
moisturising effect,Sodium polyaspartate
moisturising effect,TEA-Iactate
moisturising effect,Triglycereth-7 citrate
moisturising effect,Xylose
moisturising effect,Acetylated lanolin
moisturising effect,Acetyl trihexyl citrate
moisturising effect,Avocado sterols
moisturising effect,Butyl myristate
moisturising effect,C 14-15 alcohols
moisturising effect,C 12-13 alkyl ethylhexanoate
moisturising effect,Capryiyl glycol
moisturising effect,Castor oil
moisturising effect,Cetyl acetate
moisturising effect,Cetyl oleate
moisturising effect,C 14-16 glycol palmitate
moisturising effect,C 12-20 isoparaffin
moisturising effect,isopropyl myristate
moisturising effect,Decyl oleate
moisturising effect,Diethyihexyl adipate
moisturising effect,Diethylhexyl malate
moisturising effect,Diisodecyl adipate
moisturising effect,Djisopropyl dilinoleate
moisturising effect,Dimethicone copolyol
moisturising effect,Dipropyl adipate
moisturising effect,Ethylhexyl palmitate
moisturising effect,Ethyl linoleate
moisturising effect,Glyceryl dioleate
moisturising effect,Glyceryl ricinoleate
moisturising effect,Glyceryl stearates
moisturising effect,Glycol palmitate
moisturising effect,Glycol stearate
moisturising effect,Hexyl laurate
moisturising effect,Isocetyl alcohol
moisturising effect,Isodecyl sterarate
moisturising effect,Isohexyl palmitate
moisturising effect,Isopropyl isostearate
moisturising effect,Isopropyl palmitate
moisturising effect,Isostearyl alcohol
moisturising effect,lanolin
moisturising effect,Methyl palmitate
moisturising effect,Myristyl propionate
moisturising effect,Octyl Octanoate
moisturising effect,Octyl stearate
moisturising effect,PEG-4 lanolate
moisturising effect,PEG-5 tristearyl citrate
moisturising effect,Polyglyceryl-6 oleate
moisturising effect,Plyglycerol-2 triisosterate
moisturising effect,PPG-20 cetyl ether
moisturising effect,PPG-4 laureth-2
moisturising effect,Propylene glycol linoleate
moisturising effect,Squalene
moisturising effect,Sucrose ojeate
moisturising effect,Sunflower seed oil glycerides
moisturising effect,Tall oil glycerides
moisturising effect,Tridycyl stearate
moisturising effect,Wheat germ glycerides
moisturising effect,Acetylated castor oil
moisturising effect,Acetylated lanolin alcohol
moisturising effect,Behenyl isostearate
moisturising effect,Beeswax
moisturising effect,C12-18 acid triglyceride
moisturising effect,C20-40 alcohols
moisturising effect,C20-40 alkyl dimethicone
moisturising effect,C16-36 alkyl stearate
moisturising effect,C18-70 isoparaffin
moisturising effect,C20-24 olefin
moisturising effect,CIO-18 triglycerides
moisturising effect,Candelilla
moisturising effect,Canola oil
moisturising effect,Capryiic/capric triglyceride
moisturising effect,Carnau ba
moisturising effect,Cetearyl
moisturising effect,Cetyl ricinoleate
moisturising effect,Cholesteryl oleate
moisturising effect,Decyl myristate
moisturising effect,Dimethicone
moisturising effect,Distearyl ether
moisturising effect,Glycol dioleate
moisturising effect,Hexyldecyl isostearate
moisturising effect,Hydrogenated castor oil
moisturising effect,Hydrogenated lanolin
moisturising effect,Isocetyi myristate
moisturising effect,Lanolin linoleate
moisturising effect,Lauryl cocoate
moisturising effect,Lecithin
moisturising effect,Mineral Oil
moisturising effect,Myristyl myristate
moisturising effect,Neatsfool oil
moisturising effect,Octyldodecyl stearate
moisturising effect,Oleyl linoleate
moisturising effect,Palm kernal wax
moisturising effect,Paraffin
moisturising effect,Pentaerythntyl tetracocoate
moisturising effect,Petroleum
moisturising effect,Propylene glycol dioteate
moisturising effect,Shark liver oil
moisturising effect,Soybean lipid
moisturising effect,Stearyl stearate
moisturising effect,sodium PCA
moisturising effect,Tall oil
moisturising effect,Tocopherol
moisturising effect,Trihexyldecyl citrate
moisturising effect,Trfiisostearin
moisturising effect,Vegetable oil
moisturising effect,adenosine phosphate
moisturising effect,almond protein
moisturising effect,almondermin
moisturising effect,amino acid
moisturising effect,argan oil
moisturising effect,arginine
moisturising effect,Arlacel
moisturising effect,astrocaryum butter
moisturising effect,atelocollagen
moisturising effect,bacaba pulp oil
moisturising effect,balm of Gilead
moisturising effect,bamboo extract
moisturising effect,birch sap
moisturising effect,black currant seed oil
moisturising effect,butyl oleate 
moisturising effect,carboxymethyl chitin
moisturising effect,ceramides
moisturising effect,ceresin
moisturising effect,chitosan
moisturising effect,chitosan ascorbate
moisturising effect,choleth 24
moisturising effect,chondroitin sulfate
moisturising effect,cleavers extract
moisturising effect,collagen amino acids
moisturising effect,oltsfoot extract
moisturising effect,egg protein
moisturising effect,fibronectin
moisturising effect,gallic acid
moisturising effect,glycerin
moisturising effect,glyceryl linoleate
moisturising effect,glyceryl stearate
moisturising effect,grapeseed oil
moisturising effect,guar gum
moisturising effect,hydrolyzed fibronectin
moisturising effect,hydrolyzed wheat protein
moisturising effect,Hydroviton
moisturising effect,hydroxypropyltrimonium hydrolyzed wheat protein
moisturising effect,keratin
moisturising effect,sorbitol
moisturising effect,lupine amino acids
moisturising effect,macadamia nut oil
moisturising effect,malva
moisturising effect,melhydran
moisturising effect,mucopolysaccharides
moisturising effect,nalidone
moisturising effect,octyl palmitat
moisturising effect,panthenol
moisturising effect,plant sterols
moisturising effect,procollagen
moisturising effect,propylene glycol
moisturising effect,pyrrolidonic carbon acid
moisturising effect,rose wax
moisturising effect,saccharum officinarum
moisturising effect,sesame amino acids
moisturising effect,sodium lauroyl glutamate
moisturising effect,squalane
moisturising effect,southernwood extract
moisturising effect,sphingolipids
moisturising effect,spirulina extract
moisturising effect,tocopherol linoleate
moisturising effect,trehalose
moisturising effect,Trichilia emetica seed butter
moisturising effect,tropocollagen
moisturising effect,tryptophan
moisturising effect,Ulmus davidiana root extract
moisturising effect,urea
moisturising effect,vitamin E acetate
moisturising effect,wheat bran extract
moisturising effect,wheat protein
moisturising effect,yeast extract
moisturising effect,yomogi extract
antioxidant,Alfalfa Extract
antioxidant,Alpha Lipoic Acid
antioxidant,Alpha Tocopheryl
antioxidant,Amino Acid
antioxidant,Angelica Sinensis Diels Extract
antioxidant,Ascorbic Acid
antioxidant,Astragalus Membranaceus(Fisch) Bunge Extract
antioxidant,Avocado Oil
antioxidant,Bio-Enzyme
antioxidant,Biocatalys
antioxidant,Biopeptide
antioxidant,Biopeptides
antioxidant,Borage Oil
antioxidant,Bromclain
antioxidant,CO-Q10
antioxidant,calcium Pantothenate
antioxidant,Camellia Sinensis Extract
antioxidant,Carrot Oil
antioxidant,carthamus Tinctorius L. Extract
antioxidant,Centella Asiatica
antioxidant,Chamomil Oil
antioxidant,Coenzyme Q10 
antioxidant,Collagen
antioxidant,Comfrey Extract
antioxidant,Cyanocobalamin
antioxidant,Deoxyribonucleic Acid
antioxidant,Disodium EDTA
antioxidant,Edera Extract
antioxidant,Ergocalciferol
antioxidant,Ethylene
antioxidant,Ferulic Acid
antioxidant,Floraesters 10
antioxidant,Ginkgo Biloba
antioxidant,Grape Seed Extract
antioxidant,Grapeseed Oil
antioxidant,Horsetail Extract
antioxidant,Hydrogenated Lecithin
antioxidant,Iso-Flavones
antioxidant,L-Ascorbic acid
antioxidant,Lecithin
antioxidant,Lipase
antioxidant,Macadamia Nut Oil
antioxidant,Mallow Extract
antioxidant,Oligo Extract
antioxidant,Olive Oil
antioxidant,Papaya Enzyme
antioxidant,Phenolic acid
antioxidant,Phytoplacenta
antioxidant,Placenta
antioxidant,Placentol
antioxidant,Polyglucuronic Acid
antioxidant,Retinoids
antioxidant,Rose Extract
antioxidant,Sodium Ascorbate
antioxidant,Squalene
antioxidant,Soybean Protein
antioxidant,Sterocare
antioxidant,Sweet Almond Oil
antioxidant,Tocopherol
antioxidant,Tocopheryl Acetate
antioxidant,Vitamin E Oil
antioxidant,Wheat Protein
antioxidant,_-Glucan
antioxidant,açaí pulp oil
antioxidant,Euterpe oleracea
antioxidant,acerola extract
antioxidant,acetyl glucosamine 
antioxidant,acetyl hexapeptide-1
antioxidant,acetyl hexapeptide-3 
antioxidant,acetyl hexapeptide-8 
antioxidant,n-acetyl-l-cysteine
antioxidant,adenosine
antioxidant,algae extract
antioxidant,alpha hydroxy acid
antioxidant,Aha
antioxidant,lpha lipoic acid
antioxidant,gamma amino beta hydroxy butric acid
antioxidant,arbutin
antioxidant,ascophyllum algae
antioxidant,ascorbyl palmitate
antioxidant,ascorbyl tetraisopalmitate
antioxidant,astaxanthin
antioxidant,benzoyl peroxide
antioxidant,beta-carotene
antioxidant,beta-glucan
antioxidant,BHA
antioxidant,butylated hydroxy anisole
antioxidant,bilberry fruit extract
antioxidant,bismuth oxychloride and mica and silica
antioxidant,black cohosh extract
antioxidant,blackthorn
